Log Matlab com RI-PMI-CQI

>> EndToEndCSIFeedback
Number of CSI-RS ports: 8.

Simulating transmission scheme 1 (8x4) and SCS=15kHz with CDL-C channel at -5dB SNR for 20 10ms frame(s)
Using RI, PMI, and CQI as CSI feedback.

( 0.50%) NSlot= 0: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). Using initial CSI. CSI-RS transmission. 
(27.50%) NSlot=54: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(28.00%) NSlot=55: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(28.50%) NSlot=56: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(29.00%) NSlot=57: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(29.50%) NSlot=58: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(30.00%) NSlot=59: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(30.50%) NSlot=60: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(31.00%) NSlot=61: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(31.50%) NSlot=62: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=50.
(32.00%) NSlot=63: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(32.50%) NSlot=64: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(33.00%) NSlot=65: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(33.50%) NSlot=66: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(34.00%) NSlot=67: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(34.50%) NSlot=68: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(35.00%) NSlot=69: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(35.50%) NSlot=70: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(36.00%) NSlot=71: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(36.50%) NSlot=72: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=60.
(37.00%) NSlot=73: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(37.50%) NSlot=74: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(38.00%) NSlot=75: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(38.50%) NSlot=76: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(39.00%) NSlot=77: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(39.50%) NSlot=78: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(40.00%) NSlot=79: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(40.50%) NSlot=80: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(41.00%) NSlot=81: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(41.50%) NSlot=82: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321). Using CSI from NSlot=70.
(42.00%) NSlot=83: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(42.50%) NSlot=84: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(43.00%) NSlot=85: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(43.50%) NSlot=86: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(44.00%) NSlot=87: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(44.50%) NSlot=88: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(45.00%) NSlot=89: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
(45.50%) NSlot=90: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.350). CSI-RS transmission. 
(46.00%) NSlot=91: Transmission succeeded (Layers=2, Mod=16QAM, TCR=0.369, CR=0.321).
